feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
5422,27,Project,3,19.14128589630127,6.380428632100423
5422,28,server,2,17.352700233459473,8.676350116729736
5422,29,backup,5,16.84317183494568,3.3686343669891357
5422,30,ercise,2,15.533645629882812,7.766822814941406
14295,1,_,1716,9784.012231811881,5.701638829727203
14295,2,"
",1472,3975.987357735634,2.7010783680269252
14295,3,func,974,3786.1654767990112,3.8872335490749603
14295,4,):,519,3780.8601001501083,7.284894219942405
14295,5,est,326,3673.056338965893,11.267043984557953
14295,6,       ,808,3304.3382205963135,4.089527500738011
14295,7,(,824,2790.0052584409714,3.385928711700208
14295,8, =,554,2589.7834365963936,4.674699344036812
14295,9,self,395,2586.027701020241,6.5469055722031415
14295,10,un,190,1819.4474103450775,9.576039001816197
14295,11,",",600,1801.7804500460625,3.0029674167434375
14295,12,.,545,1759.2063571214676,3.2279015726999405
14295,13, test,294,1453.9744461774826,4.945491313528852
14295,14, ',372,1327.8747322559357,3.569555731870795
14295,15,:,202,1313.6634720563889,6.5032845151306375
14295,16,1,426,1293.1919121742249,3.0356617656671947
14295,17, with,173,1143.7569028139114,6.611311576959026
14295,18, self,220,1093.7884172797203,4.971765533089638
14295,19,Func,234,1059.9862809181213,4.529855901359493
14295,20, ,350,1015.6703982949257,2.9019154236997875
14295,21, Test,184,983.278068780899,5.343902547722277
14295,22,(',220,949.5123466253281,4.315965211933309
14295,23, p,157,867.7743352651596,5.527225065383182
14295,24,   ,255,848.9137923121452,3.329073695341746
14295,25,0,282,834.5157363414764,2.9592756607853774
14295,26,2,218,748.1614795923233,3.431933392625336
14295,27,task,304,728.0790217220783,2.3949967819805207
14295,28,Task,265,723.8845771551132,2.73163991379288
14295,29,),184,678.9839600324631,3.690130217567734
14295,30, #,175,673.3550550937653,3.847743171964373
13397,1, task,1942,33840.51176008582,17.42559822867447
13397,2,task,1011,10528.7841206491,10.4142276168636
13397,3,_,1255,3543.3817268908024,2.8234117345743446
13397,4,Task,266,2375.772593021393,8.931475913614259
13397,5,d,704,1986.2754055857658,2.8214139283888717
13397,6,func,404,877.6814488172531,2.172478833706072
13397,7, self,134,516.9080586433411,3.857522825696575
13397,8,self,92,479.35825777053833,5.210415845331938
13397,9, os,120,319.9571068286896,2.666309223572413
13397,10,"
",173,310.0052748322487,1.791938004810686
13397,11, ax,95,295.2228981256485,3.1076094539541947
13397,12, np,105,275.2275144457817,2.621214423293159
13397,13,os,45,180.9544347524643,4.021209661165873
13397,14,t,82,168.2693111896515,2.052064770605506
13397,15,2,48,122.67254430055618,2.555678006261587
13397,16,file,37,116.49878311157227,3.1486157597722233
13397,17,",",42,111.59121000766754,2.6569335716111318
13397,18, p,31,86.05329084396362,2.7759126078697944
13397,19,0,28,82.92069792747498,2.9614534974098206
13397,20,1,27,79.80388641357422,2.955699496799045
13397,21,path,30,77.56186127662659,2.5853953758875527
13397,22,data,26,66.91586649417877,2.5736871728530297
13397,23,json,15,66.23935532569885,4.415957021713257
13397,24,.,33,64.45327311754227,1.9531294884103718
13397,25, data,25,63.68815088272095,2.547526035308838
13397,26, as,26,62.99374747276306,2.4228364412601175
13397,27,count,22,57.24739909172058,2.602154504169117
13397,28, Task,15,54.24801445007324,3.6165342966715497
13397,29,sv,19,51.54635846614838,2.7129662350604407
13397,30,Int,14,50.87986183166504,3.6342758451189314
15916,1,/,777,15476.44271916151,19.918201697762562
15916,2,.,433,2266.486328780651,5.234379512195499
15916,3,test,190,1026.041087269783,5.400216248788332
15916,4,"
",228,364.52802991867065,1.5988071487660993
15916,5,_,226,308.11610409617424,1.3633455933459038
15916,6,from,158,267.5356453061104,1.6932635778867746
15916,7, ',76,234.9719718694687,3.0917364719666933
15916,8,ian,71,154.66454195976257,2.1783738304191913
15916,9,(',32,80.05511915683746,2.5017224736511707
15916,10,",",30,77.36536502838135,2.578845500946045
15916,11,src,8,69.74811029434204,8.718513786792755
15916,12,#,61,69.28382775187492,1.1358004549487692
15916,13, with,28,68.64451730251312,2.451589903661183
15916,14,tests,53,66.773786008358,1.2598827548746794
15916,15,size,26,64.3634785413742,2.4755184054374695
15916,16,=,15,37.60282099246979,2.5068547328313193
15916,17,file,5,36.021992206573486,7.204398441314697
15916,18,import,33,33.93238151073456,1.0282539851737744
15916,19,._,11,25.832083582878113,2.348371234807101
15916,20,py,22,20.642984807491302,0.9383174912496046
15916,21,./,7,18.480947375297546,2.640135339328221
15916,22,j,5,17.132196187973022,3.4264392375946047
15916,23,"),",5,16.721627712249756,3.344325542449951
15916,24," """,6,16.269861698150635,2.711643616358439
15916,25,2,8,16.235565423965454,2.0294456779956818
15916,26,\,4,15.641896724700928,3.910474181175232
15916,27,"(""",7,15.546217322349548,2.2208881889070784
15916,28,0,5,15.382605075836182,3.0765210151672364
15916,29, in,4,14.759603023529053,3.689900755882263
15916,30, import,4,12.754166603088379,3.1885416507720947
10168,1,import,1022,19265.203571558,18.850492731465753
10168,2,from,430,13771.219902276993,32.02609279599301
10168,3,"
",1465,8963.617558598518,6.118510278906839
10168,4,_,753,3005.7170266509056,3.991656077889649
10168,5, task,338,2130.6586169600487,6.303723718816712
10168,6,class,267,1322.036051273346,4.951445884918899
10168,7,test,216,962.3637495040894,4.455387729185599
10168,8,func,187,585.8672409057617,3.132979897891774
10168,9, =,195,503.46388560533524,2.58186608002736
10168,10, import,205,410.3661382198334,2.001786040096748
10168,11,.,124,388.80679881572723,3.1355387001268324
10168,12, un,193,283.91544795036316,1.4710644971521407
10168,13,       ,118,243.09493160247803,2.060126539004051
10168,14, py,52,193.50815308094025,3.721310636171928
10168,15,est,98,153.0216800570488,1.561445714867845
10168,16,(,62,144.75869363546371,2.3348176392816726
10168,17, self,53,144.23694550991058,2.721451802073785
10168,18, the,42,137.84326231479645,3.281982436066582
10168,19,py,21,135.05943167209625,6.4314015081950595
10168,20,#,111,126.02923148870468,1.1353984818802223
10168,21,self,42,121.44140326976776,2.891461982613518
10168,22,   ,59,101.98702549934387,1.728593652531252
10168,23,/,89,101.41622334718704,1.1395081274964836
10168,24, os,52,96.08887189626694,1.8478629210820565
10168,25,itt,141,90.87945514917374,0.6445351429019414
10168,26, Call,16,90.22046518325806,5.6387790739536285
10168,27, def,58,56.6210760474205,0.9762254490934569
10168,28,SELECT,15,56.03308296203613,3.735538864135742
10168,29,mock,20,51.98340153694153,2.5991700768470762
10168,30,d,30,50.126637279987335,1.6708879093329112
13801,1,"
",2242,11340.359724134207,5.058144390782429
13801,2,.,840,10412.710218906403,12.396083593936194
13801,3,py,525,6244.285829305649,11.893877770105998
13801,4,(,690,5609.474130153656,8.129672652396604
13801,5,func,397,2186.745062291622,5.5081739604322975
13801,6,_,626,2053.0025245547295,3.2795567484899832
13801,7,test,330,1959.3634514808655,5.937465004487471
13801,8,):,301,1925.7845093011856,6.39795518040261
