case_id,feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,2925,1.0,0.5,0.5,0.49442105263157893,0.1491876804193953,0.23880597014925373,24,1.0,24,15.871771812438965,20.221271514892578,23.293928146362305,3.289655923843384,4.7302141189575195,21.71076774597168,22.43393898010254,3.480693817138672,3.354722499847412,4.144559383392334,19.132579803466797,20.632661819458008,23.293928146362305,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,2941,1.0,0.5,0.5,0.49173684210526303,0.1498822344726897,0.23880597014925373,24,1.0,24,11.644988059997559,12.58320426940918,17.596343994140625,4.2449798583984375,6.145934104919434,16.73412322998047,17.38524055480957,4.536430358886719,4.378857612609863,5.154638290405273,13.515660285949707,13.206377029418945,17.596343994140625,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,3066,1.0,0.5,0.5,0.5066315789473681,0.15717488539311347,0.23880597014925373,24,1.0,24,3.7475662231445312,3.7452492713928223,4.776950836181641,3.024628162384033,3.2798755168914795,4.239871978759766,4.521492958068848,3.0604374408721924,3.085146903991699,3.12062668800354,3.92838978767395,3.8792107105255127,4.776950836181641,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,3359,1.0,0.5,0.5,0.5096842105263159,0.13904446368297624,0.23880597014925373,24,1.0,24,4.399784088134766,4.390638828277588,5.5367207527160645,3.450209617614746,3.9521806240081787,4.811197280883789,5.44288969039917,3.548194169998169,3.5882956981658936,3.78749942779541,4.623887062072754,4.707485675811768,5.5367207527160645,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,3578,1.0,0.5,0.5,0.4826842105263159,0.15249866263434309,0.23880597014925373,24,1.0,24,15.988198280334473,18.307823181152344,20.555498123168945,6.666291236877441,13.425358772277832,19.276371002197266,20.232067108154297,7.460391044616699,7.28804349899292,9.772205352783203,18.232357025146484,18.798839569091797,20.555498123168945,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,4532,1.0,0.5,0.5,0.4977894736842108,0.14592370791566342,0.23880597014925373,24,1.0,24,4.353922367095947,4.486464977264404,5.224140644073486,3.502450704574585,3.786229133605957,4.835879325866699,5.119510173797607,3.5195975303649902,3.5066847801208496,3.684962272644043,4.57348108291626,4.542593002319336,5.224140644073486,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,7074,1.0,0.5,0.5,0.505157894736842,0.14280525452595175,0.23880597014925373,24,1.0,24,17.80787467956543,26.30438232421875,29.196596145629883,4.524165630340576,5.486606121063232,27.530662536621094,28.969329833984375,4.5490899085998535,4.632632255554199,4.790917873382568,21.297025680541992,26.982704162597656,29.196596145629883,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,7881,1.0,0.5,0.5,0.4968947368421055,0.14839976517740533,0.23880597014925373,24,1.0,24,4.600958824157715,4.581924915313721,5.8428497314453125,3.6896727085113525,4.050167083740234,5.10105037689209,5.587916851043701,3.7662315368652344,3.7769219875335693,3.960679292678833,4.820623397827148,4.981017112731934,5.8428497314453125,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,8461,1.0,0.5,0.5,0.5077368421052634,0.1465691766563021,0.23880597014925373,24,1.0,24,4.690011501312256,4.490939140319824,6.809088230133057,3.7952494621276855,4.127110958099365,4.956259727478027,6.005024433135986,3.9104607105255127,3.8598642349243164,4.107066631317139,4.895155429840088,4.782743453979492,6.809088230133057,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,9201,1.0,0.5,0.5,0.49668421052631556,0.148790423171994,0.23880597014925373,24,1.0,24,5.872314929962158,6.125957012176514,8.057110786437988,3.753230571746826,5.0491623878479,6.72742223739624,7.768130779266357,4.095668792724609,4.330489158630371,4.856738090515137,6.339852809906006,6.401793479919434,8.057110786437988,False,True,high_activation_associated_with_failure
