rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
479,8752,0.00016989550204016268,0.1284666508436203,0.0002765911631286144,19,4,0.21052631578947367,1.7560975609756098,1.63527250289917
480,15528,0.00016970239812508225,0.1423090696334839,0.0009138083551079035,11,6,0.5454545454545454,2.6097560975609757,2.2773795127868652
481,8003,0.00016871590923983604,0.4382144808769226,0.0015926552005112171,16,15,0.9375,1.7317073170731707,0.9657561182975769
482,6250,0.00016853549459483474,0.16004440188407898,0.0014872723259031773,7,4,0.5714285714285714,0.17073170731707318,0.41658392548561096
483,5454,0.00016750137729104608,0.21663665771484375,0.0010719416895881295,14,9,0.6428571428571429,2.1707317073170733,1.4043865203857422
484,2945,0.0001671870704740286,0.25064802169799805,0.0007586004794575274,15,10,0.6666666666666666,1.8048780487804879,4.053211688995361
485,11094,0.00016699943807907403,0.14933106303215027,0.0009011619258671999,6,3,0.5,0.7804878048780488,0.9009493589401245
486,6135,0.00016678105748724192,0.21091075241565704,0.0010479860939085484,11,8,0.7272727272727273,0.36585365853658536,0.8313063383102417
487,9622,0.00016584075638093054,0.1488274782896042,0.0009380633709952235,11,6,0.5454545454545454,1.2195121951219512,0.9640365242958069
488,14359,0.00016537377086933702,0.2229628562927246,0.0008488062303513288,23,14,0.6086956521739131,2.5121951219512195,4.106751918792725
489,11272,0.0001637795357964933,0.2349945455789566,0.0009121201583184302,18,15,0.8333333333333334,1.146341463414634,3.2839195728302
490,9189,0.0001637396344449371,0.24974890053272247,0.001682500122115016,10,8,0.8,2.1463414634146343,0.7913349270820618
491,6119,0.00016373822290915996,0.3585625886917114,0.0013480602065101266,18,13,0.7222222222222222,1.7317073170731707,1.2706184387207031
492,8663,0.000163571210578084,0.4067474603652954,0.0014598678098991513,18,15,0.8333333333333334,5.853658536585366,3.5572829246520996
493,10458,0.00016262575809378177,0.029567115008831024,0.013944698497653008,13,4,0.3076923076923077,2.682926829268293,4.960133075714111
494,107,0.00016240373952314258,0.23681612312793732,0.001621801289729774,12,10,0.8333333333333334,1.2682926829268293,0.7457649111747742
