candidate_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_model_a_norm,decoder_model_b_norm,decoder_model_b_specificity,unique_delta_values
24,bigcodebench,regression,early_max,4484,314,291,0.9267515923566879,0.5913641117585537,0.9450478549477808,1.01974235894709,1.1674391031265259,0.4017001688480377,2.906244993209839,0.014925373134328358,97,74,3,0.7746802568435669,0.6323543787002563,0.4494234621524811,126
25,bigcodebench,regression,max,9686,314,291,0.9267515923566879,0.6864634692962797,0.9561686005716424,1.0317420638470642,3.1129133701324463,1.0711952447891235,2.9060187339782715,0.004975124378109453,115,115,1,0.6961525678634644,0.7178928852081299,0.5076872706413269,123
1,bigcodebench,improvement,max,3078,826,4,0.004842615012106538,0.8719586374695864,0.283493140846082,58.541333584715936,14.407853126525879,4.029647350311279,3.575462579727173,0.004975124378109453,4,2,512,0.6600398421287537,0.7512306571006775,0.532308042049408,797
2,bigcodebench,improvement,max,2286,826,4,0.004842615012106538,0.8880778588807786,0.06405629895240023,13.227625733670646,9.383674621582031,2.9848146438598633,3.1438047885894775,0.004975124378109453,4,4,666,0.7621322274208069,0.6474209427833557,0.45930933952331543,825
3,bigcodebench,improvement,max,12766,826,4,0.004842615012106538,0.9048053527980535,0.04232880698810079,8.740898643042813,8.78133773803711,2.8387112617492676,3.093424081802368,0.009950248756218905,4,4,555,0.7987552881240845,0.6016561985015869,0.4296281635761261,808
4,bigcodebench,improvement,max,9011,826,4,0.004842615012106538,0.8217761557177615,0.05721423289483926,11.814739092784308,8.724065780639648,2.869039297103882,3.040761947631836,0.009950248756218905,4,3,659,0.6642385125160217,0.747520387172699,0.5294957756996155,808
5,bigcodebench,improvement,max,5935,826,4,0.004842615012106538,0.9084549878345499,0.07207888547683458,14.88428985096634,8.741154670715332,2.889483690261841,3.0251615047454834,0.01990049751243781,4,4,462,0.7813927531242371,0.6240392923355103,0.4440195560455322,776
6,bigcodebench,improvement,early_max,3574,826,4,0.004842615012106538,0.7636861313868614,0.09265966670721566,19.134221175040032,4.391204833984375,1.489973545074463,2.947169780731201,0.014925373134328358,3,3,327,0.7039721012115479,0.7102267146110535,0.502211332321167,496
7,bigcodebench,improvement,max,2374,826,4,0.004842615012106538,0.9291362530413625,0.06973424941664506,14.400122504537205,10.30785083770752,3.556948184967041,2.8979480266571045,0.004975124378109453,4,4,628,0.8279538154602051,0.5607961416244507,0.4038136303424835,817
8,bigcodebench,improvement,max,1420,826,4,0.004842615012106538,0.8646593673965937,0.08868847202180535,18.314169472502805,9.294929504394531,3.2482824325561523,2.861490488052368,0.01990049751243781,4,3,560,0.825872540473938,0.5638568997383118,0.4057314097881317,799
9,bigcodebench,improvement,max,14854,826,4,0.004842615012106538,0.9279197080291971,0.0503080678911881,10.388616019530343,11.799128532409668,4.265180587768555,2.7663843631744385,0.009950248756218905,4,4,388,0.6499282717704773,0.7599955201148987,0.539033055305481,768
10,bigcodebench,improvement,max,13768,826,4,0.004842615012106538,0.933698296836983,0.04795054274379877,9.901787076594445,8.885470390319824,3.2354347705841064,2.7462987899780273,0.009950248756218905,4,4,644,0.6817223429679871,0.7316110134124756,0.5176492929458618,816
