case_id,category_rank,feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,1,2562,variant_increase_associated_with_regression,0.5977607980538702,0.38932775704542105,5.786147099119672,0.04477611940298507,True,802,1.0,802,2.221184015274048,3.018301486968994,0.797117292881012,0.841011643409729,1.1195495128631592,1.1497207880020142,0.7121708989143372,0.7735427021980286,0.7556071877479553,0.8530418872833252,0.791035532951355,0.8325545787811279,0.5977607980538702,0.3413173652694611,0.38932775704542105,5.786147099119672,0.2834786870932265,0.3413173652694611,-0.08780962959482892,-1.9644472345665265,0.23249329128569224,0.22992125984251968,0.003339959031522645,-0.20834171219285152,0.2517888720503054,0.22992125984251968,0.02839659253976267,0.7644204762973804
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,2,3446,variant_increase_associated_with_regression,0.5895479994264047,0.37685923549281436,5.277489987791398,0.05472636815920398,True,802,1.0,802,3.150531768798828,4.345310211181641,1.1947782039642334,1.0563173294067383,1.7375332117080688,1.9614431858062744,0.7938750982284546,0.7725391387939453,1.124725341796875,0.9475517272949219,1.2426105737686157,1.1483895778656006,0.5895479994264047,0.3413173652694611,0.37685923549281436,5.277489987791398,0.27221401465026346,0.3413173652694611,-0.10491145048550915,-2.1915924130101034,0.23252877968298508,0.22992125984251968,0.003386043146616616,-0.2375382049519441,0.24779329633946995,0.22992125984251968,0.023208063753708423,0.5562867657001328
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,3,16289,variant_increase_associated_with_regression,0.5770707783828092,0.3579165453629921,5.489661126216323,0.12437810945273632,True,802,1.0,802,1.9219359159469604,3.5456275939941406,1.6236916780471802,1.5438525676727295,2.041612148284912,1.8604254722595215,1.4890334606170654,1.4878568649291992,1.5266427993774414,1.4917519092559814,1.6342438459396362,1.5109378099441528,0.5770707783828092,0.3413173652694611,0.3579165453629921,5.489661126216323,0.29878991742976063,0.3413173652694611,-0.0645643980839089,-1.695885123954658,0.2195847257636261,0.22992125984251968,-0.01342269762801111,-0.9461574581961294,0.24687848456978562,0.22992125984251968,0.022020117999619362,0.5711503278532036
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,4,302,variant_increase_associated_with_regression,0.5765306828859735,0.3570965821996143,5.566096305897863,0.12935323383084577,True,802,1.0,802,2.540947914123535,3.132305860519409,0.5913577079772949,0.5942268371582031,0.9237273931503296,0.951789379119873,0.38871508836746216,0.40574562549591064,0.4878409802913666,0.5454126596450806,0.629106342792511,0.6077091693878174,0.5765306828859735,0.3413173652694611,0.3570965821996143,5.566096305897863,0.2661415648510541,0.3413173652694611,-0.11413053336249061,-2.502647563855523,0.206484930687868,0.22992125984251968,-0.030433678963606995,-1.5916188267396536,0.2683028385403253,0.22992125984251968,0.04984110935195613,1.8259223693029978
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,5,1403,variant_increase_associated_with_regression,0.5747216793628503,0.35435018594178186,4.884340646758314,0.14925373134328357,True,802,1.0,802,2.656498432159424,4.756109237670898,2.099611282348633,1.1094666719436646,3.280820369720459,2.015775680541992,1.3544869422912598,0.723557710647583,1.9321932792663574,1.0977120399475098,2.1795246601104736,1.1560206413269043,0.5747216793628503,0.3413173652694611,0.35435018594178186,4.884340646758314,0.2667326182743487,0.3413173652694611,-0.11323320680167068,-2.306451851460228,0.23611117053310648,0.22992125984251968,0.008038023084913333,0.07680739409435708,0.24528849533186786,0.22992125984251968,0.01995540804854007,0.41145312652410426
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,1,3656,variant_decrease_associated_with_regression,0.5664534302454357,0.3417974804635251,6.17320112541878,0.23383084577114427,True,658,0.8204488778054863,659,0.4311526119709015,0.0,-0.4311526119709015,-0.3674854040145874,-0.4757893681526184,-0.3995700478553772,-0.22500675916671753,-0.07448005676269531,-0.4543617069721222,-0.40371936559677124,-0.4653923213481903,-0.41885989904403687,0.24370938680506657,0.3413173652694611,-0.14818665821412624,-3.180065944802507,0.5664534302454357,0.3413173652694611,0.3417974804635251,6.17320112541878,0.24056358364620214,0.22992125984251968,0.013819786534434282,0.5184409993426999,0.22960771517376724,0.22992125984251968,-0.0004071592324290392,-0.5179151403569615
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,2,6126,variant_decrease_associated_with_regression,0.5419896838307414,0.30465706545212556,5.479208842271371,0.6368159203980099,True,606,0.7556109725685786,607,0.23943838477134705,0.0022594362962991,-0.2371789515018463,-0.17601919174194336,-0.25707027316093445,-0.1863187551498413,-0.12586504220962524,-0.03342350944876671,-0.22858186066150665,-0.17447081208229065,-0.26246708631515503,-0.20707035064697266,0.2621592883374498,0.3413173652694611,-0.1201763531604172,-3.2879110640410265,0.5419896838307414,0.3413173652694611,0.30465706545212556,5.479208842271371,0.2507937093249301,0.22992125984251968,0.0271043055650933,1.133989639867514,0.2128474307723508,0.22992125984251968,-0.022171536727110922,-1.3479887404084627
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,3,9882,variant_decrease_associated_with_regression,0.5412107935000733,0.3034745683137476,4.618157108429332,0.6567164179104478,True,736,0.9177057356608479,737,0.4114214777946472,0.00020330434199422598,-0.41121819615364075,-0.37244439125061035,-0.498648077249527,-0.4923180341720581,-0.33837252855300903,-0.30892008543014526,-0.37832358479499817,-0.3597638010978699,-0.42723479866981506,-0.38846203684806824,0.28101184022303005,0.3413173652694611,-0.09155475166139987,-2.0589062701166982,0.5412107935000733,0.3413173652694611,0.3034745683137476,4.618157108429332,0.2425467254931187,0.22992125984251968,0.016395032082066212,0.5884159016020581,0.20437786557171994,0.22992125984251968,-0.03316984736596694,-1.8182036920266447
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,4,2909,variant_decrease_associated_with_regression,0.5407368960219018,0.3027551057787054,4.9766844875604335,0.681592039800995,True,801,0.9987531172069826,802,1.0991885662078857,0.0,-1.0991885662078857,-1.0784915685653687,-1.1869051456451416,-1.1865358352661133,-0.9910016059875488,-0.9697389602661133,-1.0655479431152344,-1.0504937171936035,-1.1233444213867188,-1.0988335609436035,0.2512772833594595,0.3413173652694611,-0.13669721526336612,-2.6808387340579127,0.5407368960219018,0.3413173652694611,0.3027551057787054,4.9766844875604335,0.2523924900265323,0.22992125984251968,0.029180431834045017,0.8570590467213415,0.20237964435956035,0.22992125984251968,-0.0357646745024114,-1.9208146644069986
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,5,13592,variant_decrease_associated_with_regression,0.5392286052872265,0.3004652462087893,4.868501633589457,0.7064676616915423,True,698,0.8703241895261845,699,0.4140368402004242,1.6096226318040863e-05,-0.4140208065509796,-0.37215977907180786,-0.38733357191085815,-0.33745476603507996,-0.23983299732208252,-0.20274212956428528,-0.4101070165634155,-0.36725884675979614,-0.4574834108352661,-0.4400997459888458,0.2994106475300425,0.3413173652694611,-0.06362201693166282,-1.5767494799400863,0.5392286052872265,0.3413173652694611,0.3004652462087893,4.868501633589457,0.25649903832447374,0.22992125984251968,0.034513066126872854,1.5271939494226836,0.21885806062646018,0.22992125984251968,-0.014366322090384012,-1.0449362798059514
