case_id,category_rank,feature_id,aggregation,analysis_column,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_roc_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_roc_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_roc_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_roc_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,1,7608,p95,89528,variant_increase_associated_with_regression,0.616725821599796,0.4181201109742358,6.048130506384902,0.03482587064676617,True,802,1.0,802,1.6031219959259033,2.6711041927337646,1.0679820775985718,1.079311728477478,1.268588900566101,1.3207534551620483,0.878705620765686,0.9097062349319458,1.063035249710083,1.0708138942718506,1.0886529684066772,1.0969598293304443,0.616725821599796,0.7044657097288676,0.3413173652694611,0.4181201109742358,6.048130506384902,0.2576565885871642,0.29553429027113237,0.3413173652694611,-0.12701227005403254,-2.667428554017834,0.22838606010299808,0.4810208140740118,0.22992125984251968,-0.001993562033939089,-0.4662892499458449,0.24645242121702582,0.5189791859259881,0.22992125984251968,0.021466845547671566,0.4133271562356389
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,2,3446,p99,101750,variant_increase_associated_with_regression,0.6004412916346711,0.39339723366354606,5.164232887330608,0.09950248756218906,True,802,1.0,802,2.682553768157959,3.6005005836486816,0.917946994304657,0.7605254650115967,1.2380963563919067,1.2014107704162598,0.5376987457275391,0.5172858238220215,0.9163849949836731,0.6563506126403809,0.9666317701339722,0.8202493190765381,0.6004412916346711,0.6669856459330143,0.3413173652694611,0.39339723366354606,5.164232887330608,0.2721351948384122,0.33301435406698565,0.3413173652694611,-0.10503111329077425,-2.18417023003317,0.24173235310211377,0.47621648878056977,0.22992125984251968,0.015337513742008686,0.2203336147165802,0.23958994992597407,0.5237835112194302,0.22992125984251968,0.012555456447839545,0.09945411356029495
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,3,8575,p99,106879,variant_increase_associated_with_regression,0.5916439169717361,0.3800412194025448,5.393315073220527,0.21393034825870647,True,802,1.0,802,2.1428160667419434,2.5897796154022217,0.44696345925331116,0.4528512954711914,0.6493040323257446,0.6050970554351807,0.30613234639167786,0.38231855630874634,0.3383665680885315,0.3541910648345947,0.48748114705085754,0.49660658836364746,0.5916439169717361,0.6472089314194578,0.3413173652694611,0.3800412194025448,5.393315073220527,0.3057454634137527,0.35279106858054227,0.3413173652694611,-0.05400461463548459,-1.481230359849227,0.20462530158772346,0.43318766282880916,0.22992125984251968,-0.03284853474804826,-1.804739478814007,0.2922218986140209,0.5668123371711908,0.22992125984251968,0.0809016474844648,3.123828552406557
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,4,1716,p99,100020,variant_increase_associated_with_regression,0.5879490239650744,0.3744317000197039,5.229748212787777,0.2835820895522388,True,802,1.0,802,2.575981855392456,3.655587673187256,1.0796055793762207,0.7114945650100708,1.6471437215805054,1.5175368785858154,0.768897533416748,0.5959894061088562,0.9179791212081909,0.5261765718460083,1.1316006183624268,0.7636570930480957,0.5879490239650744,0.6569377990430622,0.3413173652694611,0.3744317000197039,5.229748212787777,0.2876836682121681,0.3430622009569378,0.3413173652694611,-0.0814257037142539,-1.8798887157947635,0.21238429858466168,0.45169061825923745,0.22992125984251968,-0.02277294560069495,-1.3050197363710363,0.2548752424654547,0.5483093817407625,0.22992125984251968,0.032404455962298,0.997999323930782
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,5,1716,p95,83636,variant_increase_associated_with_regression,0.578592564802164,0.36022689383601264,4.85234300878222,0.4228855721393035,True,802,1.0,802,1.9791104793548584,2.562763214111328,0.5836527347564697,0.519417941570282,0.820152997970581,0.8476181030273438,0.39298221468925476,0.35543292760849,0.5101341605186462,0.402185320854187,0.6209267377853394,0.5585596561431885,0.578592564802164,0.6599681020733652,0.3413173652694611,0.36022689383601264,4.85234300878222,0.2830606954796682,0.3400318979266348,0.3413173652694611,-0.08844421686268555,-1.9666099436137503,0.21090600389100372,0.45093425217805416,0.22992125984251968,-0.024692612534177164,-1.4178485271398016,0.2565217477415652,0.5490657478219458,0.22992125984251968,0.03454255586072375,1.098154401198369
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,1,11294,p99,109598,variant_decrease_associated_with_regression,0.5361760600783188,0.29583092757344753,4.723337830703275,1.0,True,761,0.9488778054862843,762,0.3546181917190552,0.0,-0.3546181917190552,-0.3342694640159607,-0.4196501672267914,-0.37730586528778076,-0.28184595704078674,-0.2647063136100769,-0.31156066060066223,-0.2709375023841858,-0.3762633800506592,-0.351997047662735,0.2620097771663821,0.3354066985645933,0.3413173652694611,-0.12040333830194726,-2.3850344858148933,0.5361760600783188,0.6645933014354067,0.3413173652694611,0.29583092757344753,4.723337830703275,0.26593744491596233,0.5751323640642071,0.22992125984251968,0.04676948368432736,2.002332946905991,0.1936335432110179,0.4248676359357929,0.22992125984251968,-0.04712208601432237,-2.1832827085064106
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,2,7794,p95,89714,variant_decrease_associated_with_regression,0.5301293503776919,0.28665092284613225,4.619229268228029,1.0,True,659,0.8216957605985037,660,0.1868887096643448,0.0,-0.1868887096643448,-0.15992680191993713,-0.21060065925121307,-0.1520056128501892,-0.12240404635667801,-0.10468044877052307,-0.1657499521970749,-0.13482612371444702,-0.20494185388088226,-0.18519383668899536,0.2761748272967806,0.36818181818181817,0.3413173652694611,-0.0988982167403422,-2.12618822862917,0.5301293503776919,0.6318181818181818,0.3413173652694611,0.28665092284613225,4.619229268228029,0.2734577399600826,0.5775275233212875,0.22992125984251968,0.0565351019931543,2.5457499163075457,0.2046912534508839,0.4224724766787125,0.22992125984251968,-0.032762891735559754,-1.8381429124204673
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,3,11065,p99,109369,variant_decrease_associated_with_regression,0.5242613803096619,0.27774227737921386,4.595700011053735,1.0,True,797,0.9937655860349127,798,0.6158656477928162,0.0,-0.6158656477928162,-0.5925229787826538,-0.6643399000167847,-0.6260420083999634,-0.5076493620872498,-0.46381112933158875,-0.5794697403907776,-0.5255576372146606,-0.6454250812530518,-0.6242566108703613,0.26660025150259387,0.3299840510366826,0.3413173652694611,-0.11343416362788027,-2.3869652380511597,0.5242613803096619,0.6700159489633174,0.3413173652694611,0.27774227737921386,4.595700011053735,0.29767519429713424,0.5882567162506653,0.22992125984251968,0.0879831255187735,3.6095551731605124,0.20407288329775924,0.41174328374933467,0.22992125984251968,-0.033565887742173575,-1.8523915875050585
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,4,1148,p95,83068,variant_decrease_associated_with_regression,0.5267610410641531,0.28153721688830513,4.44428040462117,1.0,True,649,0.8092269326683291,650,0.21778444945812225,0.0,-0.21778444945812225,-0.20332343876361847,-0.20792359113693237,-0.18031689524650574,-0.10814177989959717,-0.048583924770355225,-0.22955423593521118,-0.2092694789171219,-0.24008378386497498,-0.2314918041229248,0.26973795245179055,0.34657097288676236,0.3413173652694611,-0.10867056309591802,-2.5852253320212037,0.5267610410641531,0.6534290271132377,0.3413173652694611,0.28153721688830513,4.44428040462117,0.25766207308890965,0.5321875787881335,0.22992125984251968,0.03602334644469863,1.530773897825592,0.23441956617375662,0.46781242121186656,0.22992125984251968,0.005841358937291315,-0.17715001637574074
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,5,13393,p50,13393,variant_decrease_associated_with_regression,0.5127211568552669,0.26022211995299604,4.3559077101025645,1.0,True,802,1.0,802,0.6882901787757874,0.6656755208969116,-0.022614669054746628,-0.03036239743232727,-0.12670692801475525,-0.1487102508544922,0.035434335470199585,0.0482574999332428,-0.029780054464936256,-0.031149834394454956,-0.02139991708099842,-0.030011773109436035,0.25991306997662433,0.32567783094098884,0.3413173652694611,-0.12358652103548856,-2.702731314746622,0.5127211568552669,0.6743221690590112,0.3413173652694611,0.26022211995299604,4.3559077101025645,0.24329851972233768,0.5028573829733591,0.22992125984251968,0.017371288391992697,0.33801442256893144,0.2605023273457559,0.4971426170266409,0.22992125984251968,0.0397116111749591,1.3148693387515276
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,1,15421,p80,64573,variant_increase_associated_with_improvement,0.3825272086874739,0.19816927917494057,7.600756550328952,1.0,True,802,1.0,802,0.90492182970047,1.5839908123016357,0.679068922996521,0.675981342792511,0.6681116223335266,0.6641401648521423,0.6486916542053223,0.6894252300262451,0.7957676649093628,0.7669987082481384,0.6523370146751404,0.6412504315376282,0.31716988901370463,0.49920255183413076,0.3413173652694611,-0.036660259406466646,-1.0857618399856854,0.3158343861524874,0.5007974481658692,0.3413173652694611,-0.038687795568496476,-1.0132133269818768,0.3825272086874739,0.6261870745440793,0.22992125984251968,0.19816927917494057,7.600756550328952,0.18676412932101963,0.37381292545592065,0.22992125984251968,-0.05604249055450416,-2.9607012567708306
deepseek_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,2,15421,p60,31805,variant_increase_associated_with_improvement,0.3775497822138081,0.19170574990954628,7.4767932775169195,1.0,True,802,1.0,802,0.5385436415672302,1.1455531120300293,0.6070094704627991,0.5946338176727295,0.5817987322807312,0.5613917708396912,0.5827444791793823,0.592988133430481,0.7128903269767761,0.7008141279220581,0.5837938785552979,0.5730860233306885,0.31786265114264667,0.48708133971291867,0.3413173652694611,-0.035608520537981914,-1.1060406672391214,0.3273757783950849,0.5129186602870813,0.3413173652694611,-0.021165863709280214,-0.7833109849666761,0.3775497822138081,0.6177830069753761,0.22992125984251968,0.19170574990954628,7.4767932775169195,0.18969568162105904,0.3822169930246239,0.22992125984251968,-0.05223566906058794,-2.577080952242956
