rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
211,10654,0.00045891726040281355,0.37242233753204346,0.004169813822954893,19,18,0.9473684210526315,1.075,2.143542766571045
212,8585,0.0004571780445985496,0.33791595697402954,0.0036438037641346455,15,10,0.6666666666666666,1.525,3.3022964000701904
213,4805,0.0004564776027109474,0.16216877102851868,0.005589766427874565,5,5,1.0,0.15,0.3694349229335785
214,9675,0.00045064184814691544,0.31094974279403687,0.00361260655336082,13,10,0.7692307692307693,2.2,1.2761037349700928
215,6324,0.00045002001570537686,0.4691164195537567,0.004060911014676094,13,11,0.8461538461538461,1.325,1.5894770622253418
216,4849,0.00044475687900558114,0.37054818868637085,0.0036335617769509554,17,15,0.8823529411764706,4.175,1.4742571115493774
217,3360,0.0004441357159521431,0.34124067425727844,0.0035430309362709522,14,11,0.7857142857142857,1.775,2.9562900066375732
218,14460,0.0004437516035977751,0.29313331842422485,0.003232588991522789,33,21,0.6363636363636364,16.65,3.21535062789917
219,13562,0.0004430278204381466,0.23711198568344116,0.002065853914245963,18,13,0.7222222222222222,1.2,3.5569674968719482
220,13264,0.0004427552630659193,0.3666180670261383,0.0039873323403298855,6,6,1.0,0.15,0.3334759771823883
221,7710,0.0004420828481670469,0.2585604190826416,0.003673733677715063,10,7,0.7,1.425,2.1255290508270264
222,120,0.00044144183630123734,0.14777186512947083,0.00417529558762908,11,6,0.5454545454545454,1.35,2.364420175552368
223,1874,0.0004408603417687118,0.2010219842195511,0.0010767916683107615,38,20,0.5263157894736842,1.675,5.586512088775635
224,1882,0.0004404254141263664,0.37307149171829224,0.006762092467397451,15,14,0.9333333333333333,13.825,2.586599826812744
225,5928,0.00043698804802261293,0.2261427938938141,0.0020060143433511257,12,7,0.5833333333333334,2.525,2.5629749298095703
226,15517,0.0004363930784165859,0.2600705921649933,0.004346134606748819,19,12,0.631578947368421,3.9,4.874326229095459
227,14013,0.0004352203686721623,0.312762588262558,0.004055011086165905,17,15,0.8823529411764706,1.525,2.686211109161377
228,10710,0.00043334942893125117,0.4127030372619629,0.0034743372816592455,17,12,0.7058823529411765,3.275,2.7117998600006104
229,105,0.0004303242021705955,0.33288833498954773,0.006167066749185324,11,9,0.8181818181818182,5.675,2.7943458557128906
230,885,0.0004301715234760195,0.3363300859928131,0.0017163163283839822,10,9,0.9,0.275,0.6619609594345093
231,16376,0.00042967614717781544,0.25946059823036194,0.001973105128854513,9,9,1.0,0.575,1.2170196771621704
232,14997,0.00042704009683802724,0.38691288232803345,0.004015113227069378,18,14,0.7777777777777778,3.175,2.8725714683532715
233,11862,0.0004248279728926718,0.25262191891670227,0.0040863147005438805,14,7,0.5,1.8,4.620875358581543
234,10100,0.00042152017704211175,0.2741933763027191,0.0018484571482986212,23,17,0.7391304347826086,2.65,4.3920135498046875
235,12431,0.0004212423227727413,0.39529237151145935,0.004664604086428881,18,14,0.7777777777777778,3.3,2.883065700531006
236,9650,0.00041945333941839635,0.13951875269412994,0.005422016140073538,20,11,0.55,2.575,2.747004985809326
237,11760,0.0004188009479548782,0.40934041142463684,0.003334625856950879,11,11,1.0,0.65,4.151341438293457
238,7984,0.0004165820428170264,0.1867833435535431,0.00463643716648221,21,15,0.7142857142857143,2.925,3.3871428966522217
239,11868,0.0004163358244113624,0.4165450632572174,0.0029099781531840563,20,14,0.7,3.1,5.376902103424072
240,15943,0.00041425172821618617,0.2474282681941986,0.002778492169454694,14,12,0.8571428571428571,1.55,1.3612501621246338
241,8965,0.0004135083290748298,0.22377395629882812,0.004534854553639889,14,6,0.42857142857142855,5.5,3.2505500316619873
242,12282,0.00040876545244827867,0.38120391964912415,0.0030704678501933813,22,16,0.7272727272727273,4.375,3.9213643074035645
