case_id,rank,feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,1,6873,0.8395916293429354,0.6029411764705882,0.5960085479748003,0.6157712340354919,0.03929874673485756,0.03231312334537506,0.09897460043430328,5.695354385427313,0.2794508085737757,0.3970588235294118,-0.19505719553617698,0.4177781343460083,0.041918203234672546,0.03436371684074402,0.06952288746833801,-3.299933600735491,high_activation_associated_with_failure,0.8395916293429354,0.5960085479748003,5.695354385427313,0.004975124378109453,True,136,1.0,136,5.048722743988037,4.743171215057373,7.840533256530762,3.224583625793457,4.1846208572387695,5.975430965423584,7.424129486083984,4.3961181640625,4.381425380706787,6.811533451080322,5.478486061096191,5.543082237243652,7.840533256530762
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,2,15612,0.8321449464062974,0.6029411764705882,0.5772539390973417,0.6182125806808472,0.038224026560783386,0.03846161067485809,0.09626790881156921,5.5968010012255816,0.2805246326673141,0.3970588235294118,-0.19327621899079622,0.4146798253059387,0.042437970638275146,0.029225192964076996,0.0703849270939827,-3.1612082464442186,high_activation_associated_with_failure,0.8321449464062974,0.5772539390973417,5.5968010012255816,0.009950248756218905,True,136,1.0,136,6.592841625213623,4.241222381591797,21.922788619995117,2.5138421058654785,3.500230312347412,5.782833099365234,19.63153076171875,3.964691638946533,3.682435989379883,11.287353515625,8.32357406616211,4.775912284851074,21.922788619995117
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,3,11780,0.8114291656803322,0.6029411764705882,0.5250808617134293,0.6158705949783325,0.039627376943826675,0.03256330266594887,0.09980230033397675,4.9349319344276426,0.2892980850262304,0.3970588235294118,-0.17872512727356918,0.4174961745738983,0.04220617562532425,0.03389614447951317,0.07000049203634262,-3.037425388991471,high_activation_associated_with_failure,0.8114291656803322,0.5250808617134293,4.9349319344276426,0.014925373134328358,True,136,1.0,136,5.731151103973389,5.416489601135254,10.132552146911621,3.5229694843292236,4.454874038696289,6.641487121582031,8.738121032714844,4.960053443908691,4.940001487731934,8.249423027038574,6.238944053649902,5.782161712646484,10.132552146911621
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,4,339,0.49440033959541635,0.6029411764705882,-0.27336210768561797,0.6197609305381775,0.040062837302684784,0.042361289262771606,0.10089900344610214,-3.129103223671,0.6127360596727434,0.3970588235294118,0.357708586774306,0.4136563539505005,0.04059680923819542,0.027527593076229095,0.06733129918575287,4.903826269372541,high_activation_associated_with_success,0.6127360596727434,0.357708586774306,4.903826269372541,0.7412935323383084,True,136,1.0,136,4.099257469177246,4.118680000305176,6.303483009338379,2.5737321376800537,3.514425277709961,4.74288272857666,5.613637924194336,4.4090704917907715,4.481708526611328,6.303483009338379,3.8952345848083496,3.9976227283477783,5.649748802185059
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,5,16083,0.7245698466103626,0.6029411764705882,0.3063240581298022,0.6127771139144897,0.02326648309826851,0.024772025644779205,0.05859706923365593,4.804882499538222,0.3911303837774426,0.3970588235294118,-0.009832534222778213,0.4144534170627594,0.026358138769865036,0.028849797323346138,0.043715935200452805,-0.8848565487333709,high_activation_associated_with_failure,0.7245698466103626,0.3063240581298022,4.804882499538222,1.0,True,28,0.20588235294117646,29,0.4565860629081726,0.0,4.150221824645996,0.0,0.0,0.0,2.7159972190856934,0.046744223684072495,0.0,2.5241880416870117,0.7264818549156189,0.0,4.150221824645996
deepseek_base_merged_layer16__b_deepseek_merged__humanevalplus__layer16__evaluated_tokens,1,4789,0.5833755026430055,0.23636363636363636,0.4544203010801263,0.2632874548435211,0.042528703808784485,0.03525742515921593,0.05569235980510712,7.526398187969622,0.618028575839469,0.7636363636363637,-0.6160329483714775,0.7746407985687256,0.03411896526813507,0.0465574786067009,0.14434944093227386,-4.59018353447627,high_activation_associated_with_failure,0.5833755026430055,0.4544203010801263,7.526398187969622,0.9104477611940298,True,110,1.0,110,4.470329761505127,4.443058013916016,7.365850448608398,2.5348517894744873,3.8634305000305176,5.212038516998291,6.315164089202881,4.2103705406188965,4.184415817260742,6.678545951843262,5.310196876525879,5.248029708862305,7.365850448608398
deepseek_base_merged_layer16__b_deepseek_merged__humanevalplus__layer16__evaluated_tokens,2,7525,0.5045243910822357,0.23636363636363636,0.3511628930838801,0.2645360231399536,0.04310164973139763,0.036892492324113846,0.05644262582063675,5.567962088766991,0.6635561264387484,0.7636363636363637,-0.423416388143757,0.7735782861709595,0.03471045941114426,0.042061947286129,0.14685191214084625,-3.1697124582446286,high_activation_associated_with_failure,0.5045243910822357,0.3511628930838801,5.567962088766991,1.0,True,110,1.0,110,4.492218494415283,4.3784332275390625,7.885782718658447,2.9605884552001953,3.8849692344665527,5.162397384643555,6.108826637268066,4.3461408615112305,4.259563446044922,6.576916694641113,4.964161396026611,5.013729095458984,7.885782718658447
deepseek_base_merged_layer16__b_deepseek_merged__humanevalplus__layer16__evaluated_tokens,3,8196,0.5408838642035835,0.23636363636363636,0.398776488838026,0.2696667015552521,0.05086774751543999,0.043611276894807816,0.06661252677440643,5.331808131915485,0.6474449243873458,0.7636363636363637,-0.4915791660535372,0.7707350254058838,0.039926912635564804,0.030033372342586517,0.16892151534557343,-3.0878987636893256,high_activation_associated_with_failure,0.5408838642035835,0.398776488838026,5.331808131915485,0.9950248756218906,True,110,1.0,110,3.6009628772735596,3.5455360412597656,5.967174530029297,2.4413702487945557,3.0840091705322266,4.1012701988220215,4.920519828796387,3.4707369804382324,3.3474209308624268,5.09066915512085,4.021693229675293,3.938199520111084,5.967174530029297
deepseek_base_merged_layer16__b_deepseek_merged__humanevalplus__layer16__evaluated_tokens,4,10550,0.5126973438917908,0.23636363636363636,0.361865569382107,0.26706844568252563,0.047039780765771866,0.040208712220191956,0.061599716544151306,5.221726254720166,0.6435284690619423,0.7636363636363637,-0.5081487847379367,0.7724308967590332,0.03579253703355789,0.0372081957757473,0.15142998099327087,-3.6013804990038145,high_activation_associated_with_failure,0.5126973438917908,0.361865569382107,5.221726254720166,1.0,True,110,1.0,110,4.617947578430176,4.573758602142334,6.637657165527344,3.2564122676849365,4.067085266113281,5.210084915161133,6.033507823944092,4.465795040130615,4.437354564666748,6.602475166320801,5.109515190124512,5.1924967765808105,6.637657165527344
deepseek_base_merged_layer16__b_deepseek_merged__humanevalplus__layer16__evaluated_tokens,5,9179,0.47768641127511113,0.23636363636363636,0.31601791952693126,0.2603040933609009,0.043824292719364166,0.03135063499212265,0.057388950139284134,4.960315249606682,0.6555433809368651,0.7636363636363637,-0.4573164652671092,0.7775483131408691,0.03635922446846962,0.05885882303118706,0.153827503323555,-3.355546161420773,high_activation_associated_with_failure,0.47768641127511113,0.31601791952693126,4.960315249606682,1.0,True,110,1.0,110,3.8429572582244873,3.8511157035827637,5.942915916442871,2.353264570236206,3.313830852508545,4.39643669128418,5.293548583984375,3.695467710494995,3.7371087074279785,5.594578266143799,4.319465637207031,4.325092792510986,5.942915916442871
